,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
0,ABW-0,1.0,200.0,7.273359000000001,0.09215298415135648,0.36873369589026617,0.004671831877602435,1.7545084774107305
1,ABW-0,1.0,218.18181818,3.4264069999999998,0.0283210408000839,0.17370677244644175,0.0014357770660947634,1.7545084774107305
2,ABW-0,1.0,240.0,1.6372455,0.015207745542979196,0.08300258302865385,0.0007709791611030661,1.7545084774107305
3,ABW-0,1.0,266.66666667,0.7716419999999999,0.005680895880052752,0.039119532882146583,0.0002880014218766848,1.7545084774107305
4,ABW-0,1.0,300.0,0.3715125,0.006359011283210643,0.018834375863261046,0.00032237948555353284,1.7545084774107305
5,ABW-0,1.0,342.85714286,0.178517,0.0033601714241984584,0.009050183441961636,0.00017034886193154503,1.7545084774107305
6,ABW-0,1.0,400.0,0.08529800000000001,0.0005246732316404278,0.004324308313675693,2.659908576456405e-05,1.7545084774107305
7,ABW-0,2.7182494999999998,200.0,18.9535755,0.0001237436867067294,0.9608795529617332,6.2733692840577786e-06,1.7545084774107305
8,ABW-0,2.7182494999999998,218.18181818,8.980412000000003,0.10387115772917964,0.4552752734159412,0.005265902024894081,1.7545084774107305
9,ABW-0,2.7182494999999998,240.0,4.3551835,0.0536276853919693,0.22079247129631646,0.0027187348564289625,1.7545084774107305
10,ABW-0,2.7182494999999998,266.66666667,2.096111,0.0041889005717486655,0.1062654484710904,0.00021236251222271768,1.7545084774107305
11,ABW-0,2.7182494999999998,300.0,1.002883,0.010359114344382959,0.05084263751253276,0.0005251706286399797,1.7545084774107305
12,ABW-0,2.7182494999999998,342.85714286,0.47908999999999996,0.0002375878784786821,0.02428817639333733,1.2044869025461393e-05,1.7545084774107305
13,ABW-0,2.7182494999999998,400.0,0.2317495,0.0016143247814488831,0.011748883790243438,8.1840583289082e-05,1.7545084774107305
14,ABW-0,7.3888803,200.0,44.3111765,0.11896435197360475,2.2464206537984595,0.006031073838430938,1.7545084774107305
15,ABW-0,7.3888803,218.18181818,23.039685000000002,0.16687578614646434,1.1680309197163958,0.008460014881759379,1.7545084774107305
16,ABW-0,7.3888803,240.0,11.2895185,0.12280252758188673,0.5723388438995702,0.006225655829711562,1.7545084774107305
17,ABW-0,7.3888803,266.66666667,5.53604,0.0012317800128267453,0.2806577387141689,6.244691024508102e-05,1.7545084774107305
18,ABW-0,7.3888803,300.0,2.6827915,0.013339569427084157,0.13600808444873835,0.0006762692088254342,1.7545084774107305
19,ABW-0,7.3888803,342.85714286,1.311792,0.013164914052131159,0.06650323631753692,0.0006674147961787751,1.7545084774107305
20,ABW-0,7.3888803,400.0,0.6239224999999999,0.0014842171337104972,0.03163067426949427,7.524458358466594e-05,1.7545084774107305
21,ABW-0,20.0848201,200.0,79.825819,0.5060338968883412,4.046888001449871,0.025654137111255918,1.7545084774107305
22,ABW-0,20.0848201,218.18181818,50.3381795,0.4257129305065779,2.5519684882078044,0.02158214688068693,1.7545084774107305
23,ABW-0,20.0848201,240.0,27.6253065,0.2113987646238742,1.4005057863700103,0.010717173150176902,1.7545084774107305
24,ABW-0,20.0848201,266.66666667,13.943506500000002,0.10679787269650977,0.7068866922992456,0.005414276170418951,1.7545084774107305
25,ABW-0,20.0848201,300.0,7.001854499999999,0.08446036947882671,0.3549693735550371,0.004281843395078575,1.7545084774107305
26,ABW-0,20.0848201,342.85714286,3.4207835,0.034859657205715905,0.17342168079362508,0.001767261899066372,1.7545084774107305
27,ABW-0,20.0848201,400.0,1.6857,0.002418305191657821,0.08545905559758862,0.0001225995597234549,1.7545084774107305
28,ABW-0,54.5955522,200.0,104.9287805,0.2661033736435772,5.319519776079178,0.01349050424328934,1.7545084774107305
29,ABW-0,54.5955522,218.18181818,81.9112315,0.2357274805373815,4.152611073634366,0.011950553399255059,1.7545084774107305
30,ABW-0,54.5955522,240.0,55.220471999999994,0.10296747526282944,2.7994835301495438,0.005220088505207597,1.7545084774107305
31,ABW-0,54.5955522,266.66666667,32.0210095,0.29042784691640305,1.6233524536699373,0.014723669405420425,1.7545084774107305
32,ABW-0,54.5955522,300.0,16.962676000000002,0.05964587120664828,0.8599479571500754,0.0030238356905828378,1.7545084774107305
33,ABW-0,54.5955522,342.85714286,8.8993605,0.06615337491390827,0.4511662477027254,0.003353743219277291,1.7545084774107305
34,ABW-0,54.5955522,400.0,4.5424875,0.005352091226801091,0.230288124704189,0.0002713321834932494,1.7545084774107305
35,ABW-0,148.40433190000005,200.0,113.37023150000002,0.2549424002093413,5.747471624173929,0.012924682181689255,1.7545084774107305
36,ABW-0,148.40433190000005,218.18181818,98.9551845,0.3042786545462944,5.0166794885538,0.01542585659134522,1.7545084774107305
37,ABW-0,148.40433190000005,240.0,80.23454650000002,0.03196900468422132,4.06760904680003,0.0016207159925899046,1.7545084774107305
38,ABW-0,148.40433190000005,266.66666667,57.958038,0.4239684980773937,2.938268488918048,0.021493710297693938,1.7545084774107305
39,ABW-0,148.40433190000005,300.0,35.810517,0.26989558731109764,1.8154671431935647,0.013682756125979186,1.7545084774107305
40,ABW-0,148.40433190000005,342.85714286,20.672038,0.0657397174469141,1.0479995519709706,0.003332772241956341,1.7545084774107305
41,ABW-0,148.40433190000005,400.0,11.328231,0.07676492637917401,0.5743014313646123,0.0038917115212568883,1.7545084774107305
42,ABW-0,403.4,200.0,127.627982,0.13033109348116145,6.470289380996642,0.006607327616955476,1.7545084774107305
43,ABW-0,403.4,218.18181818,118.323956,0.03439508805046165,5.998608017043741,0.0017437098783815936,1.7545084774107305
44,ABW-0,403.4,240.0,104.6778365,0.2633470714105325,5.306797798711983,0.01335076942346473,1.7545084774107305
45,ABW-0,403.4,266.66666667,86.7707345,0.3327496019839899,4.398970768155129,0.01686923339623121,1.7545084774107305
46,ABW-0,403.4,300.0,66.382826,0.011981217300421456,3.365375581573857,0.0006074055379982232,1.7545084774107305
